balanced_row,official_test_index,label,status,logits_exact,logits_neq,max_abs_delta,reference_top5_exact,top1_correct,top5_correct,pair_wall_s,server_rc,client_rc,binary_sha256,input_sha256,oracle_sha256,reference_sha256
0,9,0,PASS,True,0,0,True,True,True,2.049004,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
1,132,1,PASS,True,0,0,True,True,True,2.058079,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
2,54,2,PASS,True,0,0,True,False,True,1.978328,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
3,396,3,PASS,True,0,0,True,False,True,1.959744,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
4,50,4,PASS,True,0,0,True,True,True,1.953306,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
5,334,5,PASS,True,0,0,True,True,True,1.991759,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
6,51,6,PASS,True,0,0,True,True,True,1.952154,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
7,64,7,PASS,True,0,0,True,False,True,1.95039,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
8,27,8,PASS,True,0,0,True,True,True,1.988764,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
9,52,9,PASS,True,0,0,True,True,True,1.962867,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
10,77,10,PASS,True,0,0,True,True,True,1.936874,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
11,37,11,PASS,True,0,0,True,True,True,2.00347,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
12,190,12,PASS,True,0,0,True,True,True,2.228599,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
13,94,13,PASS,True,0,0,True,False,True,1.974983,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
14,7,14,PASS,True,0,0,True,False,True,1.943682,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
15,6,15,PASS,True,0,0,True,True,True,2.01444,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
16,25,16,PASS,True,0,0,True,True,True,1.968872,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
17,49,17,PASS,True,0,0,True,True,True,1.930077,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
